City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-10-25 17:56:21,-33.65,115.3333,41.04,71,73,4.38
1,Brae,GB,2021-10-25 17:58:37,60.3964,-1.353,49.26,84,79,14.45
2,Mataura,NZ,2021-10-25 17:54:07,-46.1927,168.8643,50.47,97,98,2.66
3,Hermanus,ZA,2021-10-25 17:53:59,-34.4187,19.2345,61.81,76,70,15.77
4,Khatanga,RU,2021-10-25 17:58:38,71.9667,102.5,6.21,96,100,9.04
5,Qaanaaq,GL,2021-10-25 17:58:38,77.484,-69.3632,-2.02,59,16,13.44
6,Luderitz,NA,2021-10-25 17:58:39,-26.6481,15.1594,59.59,81,9,4.63
7,Bengkulu,ID,2021-10-25 17:58:39,-3.8004,102.2655,74.82,91,100,3.78
8,Whitianga,NZ,2021-10-25 17:58:39,-36.8333,175.7,61.02,95,80,2.93
9,Rio Gallegos,AR,2021-10-25 17:58:39,-51.6226,-69.2181,50.05,27,40,40.29
10,Tonala,MX,2021-10-25 17:58:40,20.6167,-103.2333,66.76,74,100,3.09
11,Bodden Town,KY,2021-10-25 17:58:40,19.2833,-81.25,89.6,62,20,8.05
12,Aquiraz,BR,2021-10-25 17:58:40,-3.9014,-38.3911,86.09,58,50,15.43
13,Ilulissat,GL,2021-10-25 17:58:41,69.2167,-51.1,0.75,79,0,4.03
14,Castro,BR,2021-10-25 17:57:17,-24.7911,-50.0119,69.03,65,89,3.18
15,Chifeng,CN,2021-10-25 17:58:41,42.2683,118.9636,48.07,43,99,7.0
16,Makakilo City,US,2021-10-25 17:58:41,21.3469,-158.0858,77.61,67,4,16.44
17,Rikitea,PF,2021-10-25 17:58:42,-23.1203,-134.9692,74.62,73,100,19.91
18,Dzhebariki-Khaya,RU,2021-10-25 17:58:42,62.2167,135.8,24.42,98,99,2.73
19,Bethel,US,2021-10-25 17:54:38,41.3712,-73.414,71.19,83,100,1.01
20,Hobart,AU,2021-10-25 17:56:00,-42.8794,147.3294,49.86,81,90,8.05
21,Atuona,PF,2021-10-25 17:58:43,-9.8,-139.0333,77.25,77,68,15.75
22,Elk River,US,2021-10-25 17:58:43,45.3038,-93.5672,52.16,59,3,5.99
23,Saskylakh,RU,2021-10-25 17:58:43,71.9167,114.0833,-10.23,99,99,2.28
24,Narsaq,GL,2021-10-25 17:58:44,60.9167,-46.05,30.87,44,17,1.59
25,Ushuaia,AR,2021-10-25 17:53:44,-54.8,-68.3,35.26,80,75,27.63
26,New Norfolk,AU,2021-10-25 17:58:44,-42.7826,147.0587,49.5,97,40,1.36
27,Dwarka,IN,2021-10-25 17:58:44,22.2394,68.9678,79.07,47,2,6.89
28,Hilo,US,2021-10-25 17:58:45,19.7297,-155.09,75.61,89,90,5.75
29,Gouyave,GD,2021-10-25 17:58:45,12.1646,-61.7296,86.77,70,20,23.02
30,Horuphav,DK,2021-10-25 17:58:45,54.9102,9.8987,51.03,100,90,6.91
31,Chuy,UY,2021-10-25 17:58:45,-33.6971,-53.4616,79.07,44,0,18.66
32,Moree,AU,2021-10-25 17:58:46,-29.4667,149.85,48.22,61,0,6.91
33,Nizhnevartovsk,RU,2021-10-25 17:58:46,60.9344,76.5531,23.02,100,0,6.71
34,Adre,TD,2021-10-25 17:58:46,13.4667,22.2,84.43,22,28,8.1
